fromCode,toCode,flightNumber,distance,duration
LGK,PEN,FY1002,131.0,0.67
LGK,KUL,AK6302,460.0,1.17
LGK,SZB,FY1024,410.0,1.17
LGK,JHB,OD1402,680.0,3.08
PEN,KUL,MH1138,325.0,1.0
PEN,SZB,FY1432,280.0,1.0
PEN,LGK,FY1003,131.0,0.67
PEN,KBR,AK6204,240.0,1.0
PEN,KCH,AK5432,1190.0,2.0
PEN,BKI,MH2608,1750.0,2.83
PEN,JHB,OD1204,560.0,1.17
AOR,KUL,MH1204,410.0,1.17
AOR,SZB,FY1102,360.0,1.17
AOR,JHB,AK6002,620.0,1.25
IPH,JHB,AK6082,430.0,1.0
KBR,KUL,MH1382,390.0,1.17
KBR,SZB,FY1204,350.0,1.17
KBR,PEN,AK6205,240.0,1.0
KBR,JHB,OD1304,530.0,4.25
KBR,KCH,AK5202,1033.0,5.42
KBR,BKI,MH2642,1520.0,3.0
TGG,KUL,MH1134,331.0,1.0
TGG,SZB,FY1302,303.0,1.0
KUA,KUL,MH1268,200.0,1.0
KUA,SZB,FY1282,198.0,1.0
JHB,LGK,OD1403,680.0,3.08
JHB,PEN,OD1205,560.0,1.17
JHB,AOR,AK6003,620.0,1.25
JHB,IPH,AK6083,430.0,1.0
JHB,KUL,MH1032,250.0,0.83
JHB,SZB,FY1182,287.0,1.0
JHB,SBW,AK5302,926.0,1.58
JHB,BTU,OD1602,1052.0,7.5
JHB,BKI,MH2614,1453.0,2.33
JHB,KCH,AK5232,740.0,1.42
JHB,TWU,AK5502,1630.0,3.0
KCH,KUL,MH2504,970.0,1.83
KCH,JHB,AK5233,740.0,1.42
KCH,SBW,MH3182,200.0,0.67
KCH,BTU,AK6032,350.0,0.83
KCH,MYY,MH3152,510.0,1.0
KCH,MKM,MH3402,245.0,1.08
KCH,BKI,MH3104,802.0,1.5
KCH,MZV,MH3202,570.0,1.67
SBW,KCH,MH3183,200.0,0.67
SBW,KUL,MH2714,1140.0,2.17
SBW,JHB,AK5303,926.0,1.58
SBW,BTU,MH3452,150.0,0.7
SBW,MYY,MH3192,319.0,1.0
BTU,KCH,AK6033,350.0,0.83
BTU,SBW,MH3453,150.0,0.7
BTU,MYY,MH3412,170.0,0.67
BTU,KUL,MH2742,1258.0,2.25
MYY,KCH,MH3153,510.0,1.0
MYY,SBW,MH3193,319.0,1.0
MYY,BTU,MH3413,170.0,0.67
MYY,MZV,MH3222,96.0,0.5
MYY,LBU,MH3212,176.0,0.75
MYY,BKI,MH3132,289.0,0.83
MYY,KUL,MH2574,1374.0,2.25
MZV,KCH,MH3203,570.0,1.67
MZV,MYY,MH3223,96.0,0.5
BBN,MYY,MH3502,177.0,0.83
LBU,KUL,MH2634,1529.0,2.5
LBU,MYY,MH3213,176.0,0.75
LBU,BKI,MH3242,112.0,0.58
BKI,KCH,MH3105,802.0,1.5
BKI,LBU,MH3243,112.0,0.58
BKI,MYY,MH3133,289.0,0.83
BKI,KUL,MH2604,1629.0,2.5
BKI,JHB,MH2615,1453.0,2.33
BKI,TWU,MH3022,290.0,0.83
SDK,KUL,MH2712,1847.0,2.83
SDK,BKI,MH3082,222.0,0.75
LDU,KUL,OD1082,1860.0,2.92
TWU,KUL,MH2660,1830.0,2.83
TWU,BKI,MH3023,290.0,0.83
TWU,JHB,AK5504,1630.0,3.0
MKM,KCH,MH3403,245.0,1.08
MKM,MYY,MH3404,268.0,1.17
